product_id|label|value|value_min|value_max|unit|type
1000155|Tension de sortie||12|24|V|MIN_MAX
1000155|Courant||1.1|6.5|A|MIN_MAX
1000156|Type|AC/DC||||SIMPLE
1000156|Sortie|ajustable||||SIMPLE
1000156|Autres caractéristiques|robuste,type frontale,sur rail DIN,à découpage,||||LIST
1000156|Tension d'entrée||90|264|V|MIN_MAX
1000156|Tension de sortie|24|||V|SIMPLE
1000156|Courant||1.25|40|A|MIN_MAX
1000157|Type|DC/DC||||SIMPLE
1000157|Autres caractéristiques|sur rail DIN||||SIMPLE
1000157|Puissance||6|10|W|MIN_MAX
1000157|Tension d'entrée|9.2,36,|||V|LIST
1000157|Tension de sortie|12,24,|||V|LIST
1000159|Configuration|sur rail DIN||||SIMPLE
1000159|Autres caractéristiques|isolé||||SIMPLE
1000159|Tension d'entrée|220,48,|||V|LIST
1000159|Tension de sortie|12|||V|SIMPLE
1000160|Configuration|sur rail DIN||||SIMPLE
1000160|Spécification électrique|abaisseur||||SIMPLE
1000160|Autres caractéristiques|isolé||||SIMPLE
1000160|Tension d'entrée|||||SIMPLE
1000160|Tension de sortie|24|||V|SIMPLE
1000161|Configuration|sur rail DIN||||SIMPLE
1000161|Spécification électrique|abaisseur||||SIMPLE
1000161|Autres caractéristiques|isolé||||SIMPLE
1000161|Tension d'entrée|24|||V|SIMPLE
1000161|Tension de sortie|12|||V|SIMPLE
1000162|Configuration|sur rail DIN||||SIMPLE
1000162|Autres caractéristiques|à découpage||||SIMPLE
1000162|Tension d'entrée|900,300,|||V|LIST
1000162|Tension de sortie|24|||V|SIMPLE
1000163|Configuration|encapsulé||||SIMPLE
1000163|Spécification électrique|abaisseur||||SIMPLE
1000163|Autres caractéristiques|isolé||||SIMPLE
1000163|Tension d'entrée||9|36|V|MIN_MAX
1000163|Tension de sortie||2|32|V|MIN_MAX
1000164|Configuration|SMD||||SIMPLE
1000164|Spécification électrique|abaisseur||||SIMPLE
1000164|Autres caractéristiques|isolé||||SIMPLE
1000164|Puissance||0.5|150|W|MIN_MAX
1000165|Spécification électrique|sinusoïdal,monophasé,||||LIST
1000165|Applications|pour applications solaires||||SIMPLE
1000165|Puissance||3,300|8,000|W|MIN_MAX
