product_id|label|value|value_min|value_max|unit|type
1000686|Autre caractéristique|semi-immergé,basse pression,retour,magnétique,bypass,||||LIST
1000686|Taille de filtration|5,2,10,20,|||µm|LIST
1000686|Pression de fonctionnement||0|10|bar|MIN_MAX
1000686|Débit||0|500|l/min|MIN_MAX
1000687|Fluide|hydraulique||||SIMPLE
1000687|Élément filtrant|à cartouche||||SIMPLE
1000687|Autre caractéristique|compact,moyenne pression,||||LIST
1000687|Taille de filtration|10,20,5,2,|||µm|LIST
1000687|Pression de fonctionnement||0|70|bar|MIN_MAX
1000687|Débit||0|0.01|m³/s|MIN_MAX
1000688|Fluide|à liquide,à gaz,||||LIST
1000688|Élément filtrant|à cartouche||||SIMPLE
1000688|Autre caractéristique|pour applications biopharmaceutiques||||SIMPLE
1000688|Taille de filtration||0.1|100|µm|MIN_MAX
1000689|Fluide|à gaz||||SIMPLE
1000689|Élément filtrant|à cartouche||||SIMPLE
1000689|Autre caractéristique|haute performance,stérile,||||LIST
1000689|Pression de fonctionnement|||||SIMPLE
1000689|Débit||0.6|49.5|l/min|MIN_MAX
1000690|Fluide|à air,à gaz,||||LIST
1000690|Élément filtrant|à poche||||SIMPLE
1000690|Autre caractéristique|à particules||||SIMPLE
1000690|Débit||800|3,400|m³/h|MIN_MAX
1000691|Fluide|pour vapeur||||SIMPLE
1000691|Élément filtrant|à cartouche||||SIMPLE
1000691|Autre caractéristique|plissé||||SIMPLE
1000692|Fluide|à air,à eau,||||LIST
1000692|Élément filtrant|à cartouche||||SIMPLE
1000692|Autre caractéristique|en T,en acier inoxydable,en laiton,||||LIST
1000692|Taille de filtration||1|450|µm|MIN_MAX
1000692|Pression de fonctionnement|79,69,134,155,,145.798,|||psi)|LIST
1000693|Fluide|hydraulique||||SIMPLE
1000693|Élément filtrant|à cartouche||||SIMPLE
1000693|Autre caractéristique|écologique,haute pression,||||LIST
1000693|Taille de filtration|10,5,2,20,|||µm|LIST
1000693|Pression de fonctionnement||0|450|bar|MIN_MAX
1000693|Débit||0|700|l/min|MIN_MAX
1000694|Fluide|hydraulique||||SIMPLE
1000694|Élément filtrant|à cartouche||||SIMPLE
1000694|Autre caractéristique|semi-immergé,basse pression,retour,magnétique,bypass,||||LIST
1000694|Taille de filtration|5,2,10,20,|||µm|LIST
1000694|Pression de fonctionnement||0|10|bar|MIN_MAX
1000694|Débit||0|500|l/min|MIN_MAX
1000695|Fluide|hydraulique||||SIMPLE
1000695|Élément filtrant|à cartouche||||SIMPLE
1000695|Autre caractéristique|d'échappement,à gasoil,||||LIST
1000695|Taille de filtration|1|||µm|SIMPLE
1000695|Pression de fonctionnement|||||SIMPLE
1000695|Débit|||||SIMPLE
1000696|Type de résine|époxy||||SIMPLE
1000696|Applications|pour applications électroniques||||SIMPLE
1000697|Type|de protection||||SIMPLE
1000697|Forme|liquide||||SIMPLE
1000697|Matériau|acrylique||||SIMPLE
1000697|Applications|pour revêtement||||SIMPLE
1000699|Technologie|pour air comprimé||||SIMPLE
1000699|Pression||1|16|bar|MIN_MAX
1000699|Débit||2,500|7,200|l/min|MIN_MAX
1000700|Applications|pour air comprimé||||SIMPLE
1000246|Spécifications|pour véhicule électrique||||SIMPLE
1000247|Spécifications|de flux lumineux||||SIMPLE
1000248|Type|à clé||||SIMPLE
1000248|Configuration des contacts|multipolaire||||SIMPLE
1000248|Courant|100,10,|||mA|LIST
1000248|Tension|250,35,|||V|LIST
1000249|Type|à clé||||SIMPLE
1000249|Configuration des contacts|unipolaire||||SIMPLE
1000249|Autres caractéristiques|rond,rectangulaire,électromécanique,||||LIST
1000249|Niveau de protection|IP40||||SIMPLE
1000249|Courant|100|||mA|SIMPLE
1000249|Tension||0|35|V|MIN_MAX
1000250|Type|tactile||||SIMPLE
1000250|Configuration des contacts|unipolaire||||SIMPLE
1000250|Autres caractéristiques|pour applications automobiles,à faible course,électromécanique,||||LIST
1000250|Tension||0|35|V|MIN_MAX
1000251|Type|pour porte||||SIMPLE
1000251|Configuration des contacts|multipolaire||||SIMPLE
1000251|Autres caractéristiques|AS-Interface,de sécurité,||||LIST
1000252|Type|à commande par câble||||SIMPLE
1000252|Autres caractéristiques|AS-Interface,d'arrêt d'urgence,||||LIST
1000252|Niveau de protection|durci,pour environnement sévère,||||LIST
1000253|Type|à levier||||SIMPLE
1000253|Configuration des contacts|unipolaire,2,|||pôles|LIST
1000253|Niveau de protection|IP40||||SIMPLE
1000253|Courant|2|||A|SIMPLE
1000253|Tension|24|||V|SIMPLE
1000254|Type|rotatif,de sélection,||||LIST
1000254|Configuration des contacts|multipolaire||||SIMPLE
1000254|Autres caractéristiques|électromécanique||||SIMPLE
1000254|Tension||6|380|V|MIN_MAX
1000255|Type|à cames||||SIMPLE
1000255|Configuration des contacts|multipolaire||||SIMPLE
1000255|Autres caractéristiques|électromécanique||||SIMPLE
1000255|Courant|20|||A|SIMPLE
1000255|Tension|400|||V|SIMPLE
