id|id_parent|level|index|name|url
40533|40500|03|33|Coupleurs électroniques|http://www.directindustry.fr/fabricant-industriel/coupleur-electronique-186160.html
40534|40500|03|34|Capteurs d'images|http://www.directindustry.fr/fabricant-industriel/capteur-image-76041.html
40535|40500|03|35|Circuits intégrés convertisseurs|http://www.directindustry.fr/fabricant-industriel/circuit-integre-convertisseur-88435.html
40536|40500|03|36|Drivers de lignes périphériques, Contrôleurs de bus, Contrôleurs de réseaux|http://www.directindustry.fr/cat/composants-electroniques/drivers-lignes-peripheriques-controleurs-bus-controleurs-reseaux-AA-478.html
40537|40500|03|37|Amplificateurs|http://www.directindustry.fr/fabricant-industriel/amplificateur-66687.html
40538|40500|03|38|Gestion d'alimentation|http://www.directindustry.fr/cat/composants-electroniques/gestion-alimentation-AA-508.html
40539|40500|03|39|Contrôleurs d'afficheurs graphiques|http://www.directindustry.fr/fabricant-industriel/controleur-afficheur-graphique-98248.html
40540|40500|03|40|Modems|http://www.directindustry.fr/fabricant-industriel/modem-64087.html
40541|40500|03|41|Cartes convertisseurs|http://www.directindustry.fr/fabricant-industriel/carte-convertisseur-89941.html
40542|40500|03|42|Convertisseurs|http://www.directindustry.fr/fabricant-industriel/convertisseur-66023.html
40543|40500|03|43|Noyaux en ferrite|http://www.directindustry.fr/fabricant-industriel/noyau-ferrite-78408.html
40544|40500|03|44|Ventilateurs pour l'électronique|http://www.directindustry.fr/fabricant-industriel/ventilateur-electronique-219707.html
40545|40500|03|45|Film thermoconducteurs|http://www.directindustry.fr/fabricant-industriel/film-thermoconducteur-92346.html
40546|40500|03|46|Dissipateurs thermiques|http://www.directindustry.fr/fabricant-industriel/dissipateur-thermique-75234.html
40547|40500|03|47|Circuits imprimés|http://www.directindustry.fr/fabricant-industriel/circuit-imprime-77654.html
40548|40500|03|48|Sockets de test|http://www.directindustry.fr/fabricant-industriel/socket-test-91405.html
40549|40500|03|49|Résines|http://www.directindustry.fr/fabricant-industriel/resine-75299.html
40550|40500|03|50|Vernis|http://www.directindustry.fr/fabricant-industriel/vernis-78580.html
40551|40500|03|51|Kits de développement|http://www.directindustry.fr/fabricant-industriel/kit-developpement-81221.html
40552|40500|03|52|Autres composants électroniques|http://www.directindustry.fr/cat/composants-electroniques/autres-composants-electroniques-AA-3118.html
40600|40000|02|06|Composants Optiques|http://www.directindustry.fr/cat/composants-optiques-AC.html
40601|40600|03|01|Lentilles optiques|http://www.directindustry.fr/cat/composants-optiques/lentilles-optiques-AC-551.html
40602|40600|03|02|Filtres optiques|http://www.directindustry.fr/fabricant-industriel/filtre-optique-74065.html
40603|40600|03|03|Collimateurs|http://www.directindustry.fr/fabricant-industriel/collimateur-74659.html
40604|40600|03|04|Prismes|http://www.directindustry.fr/fabricant-industriel/prisme-74035.html
40605|40600|03|05|Lasers|http://www.directindustry.fr/fabricant-industriel/laser-69787.html
40606|40600|03|06|Lasers pulsés|http://www.directindustry.fr/fabricant-industriel/laser-pulse-65763.html
40607|40600|03|07|Lasers continus|http://www.directindustry.fr/fabricant-industriel/laser-continu-78868.html
40608|40600|03|08|Pointeurs lasers|http://www.directindustry.fr/fabricant-industriel/pointeur-laser-79030.html
40609|40600|03|09|Diodes lasers|http://www.directindustry.fr/fabricant-industriel/diode-laser-62759.html
40610|40600|03|10|Matrices de diodes laser|http://www.directindustry.fr/fabricant-industriel/matrice-diodes-laser-78983.html
40611|40600|03|11|Têtes de lasers|http://www.directindustry.fr/fabricant-industriel/tete-laser-99388.html
40612|40600|03|12|Systèmes lasers|http://www.directindustry.fr/fabricant-industriel/systeme-laser-99387.html
40613|40600|03|13|Sources lumineuses|http://www.directindustry.fr/fabricant-industriel/source-lumineuse-74558.html
40614|40600|03|14|Générateurs de rayons X|http://www.directindustry.fr/fabricant-industriel/generateur-rayons-x-80805.html
40615|40600|03|15|LED|http://www.directindustry.fr/fabricant-industriel/led-67854.html
40616|40600|03|16|Émetteurs-récepteurs pour fibre optique|http://www.directindustry.fr/cat/composants-optiques/emetteurs-recepteurs-fibre-optique-AC-547.html
40617|40600|03|17|Multiplexeurs|http://www.directindustry.fr/fabricant-industriel/multiplexeur-66124.html
40618|40600|03|18|Objectifs|http://www.directindustry.fr/fabricant-industriel/objectif-80245.html
40619|40600|03|19|Porte-lentilles|http://www.directindustry.fr/fabricant-industriel/porte-lentille-97510.html
40620|40600|03|20|Porte-miroirs|http://www.directindustry.fr/fabricant-industriel/porte-miroir-129638.html
40621|40600|03|21|Porte-lentilles/miroirs/filtres|http://www.directindustry.fr/fabricant-industriel/porte-lentille-miroir-filtre-97713.html
40622|40600|03|22|Adaptateurs optiques|http://www.directindustry.fr/fabricant-industriel/adaptateur-optique-102574.html
40623|40600|03|23|Autres composants pour l'optique|http://www.directindustry.fr/cat/composants-optiques/autres-composants-optique-AC-738.html
50000||01|05|Mécanique - Transmission de puissance|null
50100|50000|02|01|Moteurs et Contrôle Moteur|http://www.directindustry.fr/cat/moteurs-controle-moteur-D.html
50101|50100|03|01|Moteurs AC|http://www.directindustry.fr/fabricant-industriel/moteur-ac-137978.html
50102|50100|03|02|Moteurs DC|http://www.directindustry.fr/fabricant-industriel/moteur-dc-137967.html
50103|50100|03|03|Moteurs brushless|http://www.directindustry.fr/fabricant-industriel/moteur-brushless-93497.html
50104|50100|03|04|Moteurs pas à pas|http://www.directindustry.fr/fabricant-industriel/moteur-pas-pas-138158.html
50105|50100|03|05|Moteurs synchrones|http://www.directindustry.fr/fabricant-industriel/moteur-synchrone-93470.html
50106|50100|03|06|Moteurs asynchrones|http://www.directindustry.fr/fabricant-industriel/moteur-asynchrone-93476.html
50107|50100|03|07|Servomoteurs AC|http://www.directindustry.fr/fabricant-industriel/servomoteur-ac-141101.html
50108|50100|03|08|Servomoteurs DC|http://www.directindustry.fr/fabricant-industriel/servomoteur-dc-131468.html
50109|50100|03|09|Moteurs linéaires|http://www.directindustry.fr/fabricant-industriel/moteur-lineaire-93502.html
50110|50100|03|10|Moteurs piézoélectriques|http://www.directindustry.fr/fabricant-industriel/moteur-piezoelectrique-73714.html
50111|50100|03|11|Motoréducteurs AC|http://www.directindustry.fr/fabricant-industriel/motoreducteur-ac-72583.html
50112|50100|03|12|Motoréducteurs DC|http://www.directindustry.fr/fabricant-industriel/motoreducteur-dc-65199.html
50113|50100|03|13|Variateurs AC|http://www.directindustry.fr/fabricant-industriel/variateur-ac-65415.html
50114|50100|03|14|Variateurs DC|http://www.directindustry.fr/fabricant-industriel/variateur-dc-72626.html
50115|50100|03|15|Servo-variateurs|http://www.directindustry.fr/fabricant-industriel/servo-variateur-73114.html
50116|50100|03|16|Contrôleurs de mouvement|http://www.directindustry.fr/fabricant-industriel/controleur-mouvement-74840.html
50117|50100|03|17|Contrôleurs moteurs|http://www.directindustry.fr/fabricant-industriel/controleur-moteur-72568.html
50118|50100|03|18|Cartes de contrôle de mouvement|http://www.directindustry.fr/fabricant-industriel/carte-controle-mouvement-76183.html
